Model,Clean,FGSM,PGD
Adam-Baseline,0.9529333333333333,0.8042666666666667,0.7422666666666666
RMSprop-Baseline,0.9968,0.7018666666666666,0.6597333333333333
Adam-FGSM,0.9992,0.9957333333333334,0.10626666666666666
RMSprop-FGSM,0.9986666666666667,0.9973333333333333,0.16613333333333333
Adam-PGD,0.9969333333333333,0.9704,0.97
RMSprop-PGD,0.8757333333333334,0.8757333333333334,0.8757333333333334
