Optimizer,Defense,Clean Acc,Clean F1,Robust Acc,Robust F1,Combined
Adam,Baseline,0.9529333333333333,0.9480513280906697,0.7833333333333333,0.8091651380159416,0.8342133333333333
Adam,FGSM,0.9992,0.9991992615505475,0.5130666666666667,0.4794673594322285,0.6589066666666666
Adam,PGD,0.9969333333333333,0.9969168571192183,0.97012,0.9683362057150046,0.9781639999999999
RMSprop,Baseline,0.9968,0.9967880936581667,0.74684,0.7877153186899806,0.8218279999999999
RMSprop,FGSM,0.9986666666666667,0.9986654359175791,0.5406400000000001,0.5188804118112346,0.678048
RMSprop,PGD,0.8757333333333334,0.8177163112501185,0.8757333333333334,0.8177163112501183,0.8757333333333333
